Source	Cell Type (Clean)	Cell Type	Spearman's Correlation	Pearson's Correlation	Description (e.g. cell type, tissue, system)
BLUEPRINT_HSC	Multipotent progenitor from bone marrow	Multipotent.progenitor.from.bone.marrow	0.4858102625	0.7480639069	blood, progenitor
BLUEPRINT_HSC	Multipotent progenitor from cord blood	Multipotent.progenitor.from.cord.blood	0.4679879106	0.7970350137	blood, progenitor
BLUEPRINT_HSC	Multipotent progenitor from peripheral blood	Multipotent.progenitor.from.peripheral.blood	0.4798154599	0.7968930992	blood, progenitor
BLUEPRINT_HSC	Natural killer cell from peripheral blood	Natural.killer.cell.from.peripheral.blood	0.4922342547	0.725536891	blood, NK cell
BLUEPRINT_HSC	Neutrophil from peripheral blood	Neutrophil.from.peripheral.blood	0.5005935351	0.750310262	blood, neutrophil
CREST	CD49f positive cytotrophoblast Healthy	CD49f_positive_cytotrophoblast.Healthy	0.7220798106	0.7433984043	developmental
CREST	Endometrial epitherium follicular phase Myoma	Endometrial_epitherium_follicular_phase.Myoma	0.634899421	0.748432657	endometrial, reproductive (F)
CREST	Endometrial epitherium secretory phase Myoma	Endometrial_epitherium_secretory_phase.Myoma	0.6388780787	0.7450029946	endometrial, reproductive (F)
CREST	Endometrial stroma cell Dermoid cyst	Endometrial_stroma_cell.Dermoid_cyst	0.6686195989	0.7485289316	endometrial, reproductive (F)
CREST	Endometrial stroma cell Myoma	Endometrial_stroma_cell.Myoma	0.6520030175	0.7541934634	endometrial, reproductive (F)
CREST	Syncytiotrophoblast Healthy	Syncytiotrophoblast.Healthy	0.7083119422	0.7252756971	endometrial, developmental, epithelial, endocrine, reproductive (F)
Encode	A549	A549	0.6608089065	0.6654885283	lung, epithelial, cancer
Encode	adipose tissue	adipose.tissue	0.7608814093	0.8732602985	adipose
Encode	adrenal gland	adrenal.gland	0.7101665459	0.8482199378	adrenal, endocrine
Encode	aorta	aorta	0.7032183092	0.8216198381	circulatory, smooth muscle
Encode	B cell	B.cell	0.5507741443	0.7730479937	blood, B cell
Encode	body of pancreas	body.of.pancreas	0.7037721051	0.8003391345	pancreas
Encode	CD14 positive monocyte	CD14.positive.monocyte	0.5318160472	0.7819470641	blood, monocyte
Encode	common myeloid progenitor  CD34 positive	common.myeloid.progenitor..CD34.positive	0.4865473508	0.8042004983	developmental, blood
Encode	ectodermal cell	ectodermal.cell	0.4746962723	0.8446670756	developmental
Encode	endodermal cell	endodermal.cell	0.4452927116	0.8258960335	developmental
Encode	esophagus	esophagus	0.7663758078	0.8681453668	esophagus
Encode	esophagus muscularis mucosa	esophagus.muscularis.mucosa	0.6173852702	0.7997773475	esophagus
Encode	esophagus squamous epithelium	esophagus.squamous.epithelium	0.6946366708	0.8083330338	esophagus, epithelial, squamous
Encode	gastroesophageal sphincter	gastroesophageal.sphincter	0.6196560484	0.7774130967	gastrointestinal, sphincter
Encode	GM12878	GM12878	0.6424999234	0.6409719746	blood, lymphoblast
Encode	GM23248	GM23248	0.6384508553	0.6726124243	fibroblast, skin
Encode	H1	H1	0.4407901296	0.8096133927	stem
Encode	heart	heart	0.5876137946	0.7892759291	heart
Encode	heart left ventricle	heart.left.ventricle	0.7373119076	0.8590658178	heart
Encode	heart right ventricle	heart.right.ventricle	0.7386046195	0.8593429999	heart
Encode	HeLa S3	HeLa.S3	0.5880357175	0.5891185204	cervical, cancer
Encode	hepatocyte	hepatocyte	0.6412279713	0.8223695302	liver
Encode	HepG2	HepG2	0.6337871091	0.6309130277	liver
Encode	HUES64	HUES64	0.4867458915	0.8378639746	stem
Encode	IMR 90	IMR.90	0.5650898097	0.6396425222	fibroblast, lung
Encode	K562	K562	0.5030184683	0.5536207942	blood, lymphoblast, cancer
Encode	large intestine	large.intestine	0.4820981096	0.6591444589	gastrointestinal, intestine
Encode	liver	liver	0.7142149519	0.8343897703	liver
Encode	lower leg skin	lower.leg.skin	0.7150010589	0.848231539	skin
Encode	lung	lung	0.7331953931	0.8718614829	lung
Encode	mammary epithelial cell	mammary.epithelial.cell	0.5958794419	0.6876236717	mammary, epithelial, reproductive (F)
Encode	mesenchymal stem cell	mesenchymal.stem.cell	0.5601083862	0.7624208617	stem
Encode	mesodermal cell	mesodermal.cell	0.4320119578	0.7887996382	developmental
Encode	motor neuron	motor.neuron	0.7010606267	0.8022487604	brain, central nervous system
Encode	muscle of leg	muscle.of.leg	0.5997889501	0.7388580041	skeletal muscle
Encode	muscle of trunk	muscle.of.trunk	0.6152869514	0.7626603876	skeletal muscle
Encode	natural killer cell	natural.killer.cell	0.5779003514	0.802165527	blood, NK cell
Encode	ovary	ovary	0.7240271731	0.8337481771	ovary, reproductive (F)
Encode	pancreas	pancreas	0.7272483898	0.817294494	pancreas
Encode	placenta	placenta	0.6438508594	0.7124412996	placenta, reproductive (F)
Encode	prostate gland	prostate.gland	0.6779747756	0.825196073	prostate, reproductive (M)
Encode	psoas muscle	psoas.muscle	0.7450082358	0.8460768923	skeletal muscle
Encode	right cardiac atrium	right.cardiac.atrium	0.7481197889	0.8513229746	heart
Encode	right lobe of liver	right.lobe.of.liver	0.636240355	0.7056026338	liver
Encode	sigmoid colon	sigmoid.colon	0.7571820082	0.8654151137	colon
Encode	SK N SH	SK.N.SH	0.6322052307	0.6355180829	neuroblastoma, brain, stem, cancer
Encode	skeletal muscle myoblast	skeletal.muscle.myoblast	0.6940589362	0.7778934812	skeletal muscle
Encode	small intestine	small.intestine	0.7512118171	0.8568611492	gastrointestinal, intestine
